BuyingPrice,MaintenancePrice,Doors,PersonsCapacity,LuggageBoot,Safety,CarEvaluation
vhigh,high,2,2,medium,high,unacceptable
vhigh,high,2,2,big,low,unacceptable
vhigh,high,2,2,big,medium,unacceptable
vhigh,high,2,2,big,high,unacceptable
vhigh,high,2,4,small,low,unacceptable
vhigh,high,2,4,small,medium,unacceptable
vhigh,high,2,4,small,high,unacceptable
vhigh,high,2,4,medium,low,unacceptable
vhigh,high,2,4,medium,medium,unacceptable
vhigh,high,2,4,medium,high,unacceptable
vhigh,high,2,4,big,low,unacceptable
vhigh,high,2,4,big,medium,unacceptable
vhigh,high,2,4,big,high,unacceptable
vhigh,high,2,more,small,low,unacceptable
vhigh,high,2,more,small,medium,unacceptable
vhigh,high,2,more,small,high,unacceptable
vhigh,high,2,more,medium,low,unacceptable
vhigh,high,2,more,medium,medium,unacceptable
vhigh,high,2,more,medium,high,unacceptable
vhigh,high,2,more,big,low,unacceptable
vhigh,high,2,more,big,medium,unacceptable
vhigh,high,2,more,big,high,unacceptable
vhigh,high,3,2,small,low,unacceptable
vhigh,high,3,2,small,medium,unacceptable
vhigh,high,3,2,small,high,unacceptable
vhigh,high,3,2,medium,low,unacceptable
vhigh,high,3,2,medium,medium,unacceptable
vhigh,high,3,2,medium,high,unacceptable
vhigh,high,3,2,big,low,unacceptable
vhigh,high,3,2,big,medium,unacceptable
vhigh,high,3,2,big,high,unacceptable
vhigh,high,3,4,small,low,unacceptable
vhigh,high,3,4,small,medium,unacceptable
vhigh,high,3,4,small,high,unacceptable
vhigh,high,3,4,medium,low,unacceptable
vhigh,high,3,4,medium,medium,unacceptable
vhigh,high,3,4,medium,high,unacceptable
vhigh,high,3,4,big,low,unacceptable
vhigh,high,3,4,big,medium,unacceptable
vhigh,high,3,4,big,high,unacceptable
vhigh,high,3,more,small,low,unacceptable
vhigh,high,3,more,small,medium,unacceptable
vhigh,high,3,more,small,high,unacceptable
vhigh,high,3,more,medium,low,unacceptable
vhigh,high,3,more,medium,medium,unacceptable
vhigh,high,3,more,medium,high,unacceptable
vhigh,high,3,more,big,low,unacceptable
vhigh,high,3,more,big,medium,unacceptable
vhigh,high,3,more,big,high,unacceptable
vhigh,high,4,2,small,low,unacceptable
vhigh,high,4,2,small,medium,unacceptable
vhigh,high,4,2,small,high,unacceptable
vhigh,high,4,2,medium,low,unacceptable
vhigh,high,4,2,medium,medium,unacceptable
vhigh,high,4,2,medium,high,unacceptable
vhigh,high,4,2,big,low,unacceptable
vhigh,high,4,2,big,medium,unacceptable
vhigh,high,4,2,big,high,unacceptable
vhigh,high,4,4,small,low,unacceptable
vhigh,high,4,4,small,medium,unacceptable
vhigh,high,4,4,small,high,unacceptable
vhigh,high,4,4,medium,low,unacceptable
vhigh,high,4,4,medium,medium,unacceptable
vhigh,high,4,4,medium,high,unacceptable
vhigh,high,4,4,big,low,unacceptable
vhigh,high,4,4,big,medium,unacceptable
vhigh,high,4,4,big,high,unacceptable
vhigh,high,4,more,small,low,unacceptable
vhigh,high,4,more,small,medium,unacceptable
vhigh,high,4,more,small,high,unacceptable
vhigh,high,4,more,medium,low,unacceptable
vhigh,high,4,more,medium,medium,unacceptable
vhigh,high,4,more,medium,high,unacceptable
vhigh,high,4,more,big,low,unacceptable
vhigh,high,4,more,big,medium,unacceptable
vhigh,high,4,more,big,high,unacceptable
vhigh,high,5more,2,small,low,unacceptable
vhigh,high,5more,2,small,medium,unacceptable
vhigh,high,5more,2,small,high,unacceptable
vhigh,high,5more,2,medium,low,unacceptable
vhigh,high,5more,2,medium,medium,unacceptable
vhigh,high,5more,2,medium,high,unacceptable
vhigh,high,5more,2,big,low,unacceptable
vhigh,high,5more,2,big,medium,unacceptable
vhigh,high,5more,2,big,high,unacceptable
vhigh,high,5more,4,small,low,unacceptable
vhigh,high,5more,4,small,medium,unacceptable
vhigh,high,5more,4,small,high,unacceptable
vhigh,high,5more,4,medium,low,unacceptable
vhigh,high,5more,4,medium,medium,unacceptable
vhigh,high,5more,4,medium,high,unacceptable
vhigh,high,5more,4,big,low,unacceptable
vhigh,high,5more,4,big,medium,unacceptable
vhigh,high,5more,4,big,high,unacceptable
vhigh,high,5more,more,small,low,unacceptable
vhigh,high,5more,more,small,medium,unacceptable
vhigh,high,5more,more,small,high,unacceptable
vhigh,high,5more,more,medium,low,unacceptable
vhigh,high,5more,more,medium,medium,unacceptable
vhigh,high,5more,more,medium,high,unacceptable
vhigh,high,5more,more,big,low,unacceptable
vhigh,high,5more,more,big,medium,unacceptable
vhigh,high,5more,more,big,high,unacceptable
vhigh,med,2,2,small,low,unacceptable
vhigh,med,2,2,small,medium,unacceptable
vhigh,med,2,2,small,high,unacceptable
vhigh,med,2,2,medium,low,unacceptable
vhigh,med,2,2,medium,medium,unacceptable
vhigh,med,2,2,medium,high,unacceptable
vhigh,med,2,2,big,low,unacceptable
vhigh,med,2,2,big,medium,unacceptable
vhigh,med,2,2,big,high,unacceptable
vhigh,med,2,4,small,low,unacceptable
vhigh,med,2,4,small,medium,unacceptable
vhigh,med,2,4,small,high,acceptable
vhigh,med,2,4,medium,low,unacceptable
vhigh,med,2,4,medium,medium,unacceptable
vhigh,med,2,4,medium,high,acceptable
vhigh,med,2,4,big,low,unacceptable
vhigh,med,2,4,big,medium,acceptable
vhigh,med,2,4,big,high,acceptable
vhigh,med,2,more,small,low,unacceptable
vhigh,med,2,more,small,medium,unacceptable
vhigh,med,2,more,small,high,unacceptable
vhigh,med,2,more,medium,low,unacceptable
vhigh,med,2,more,medium,medium,unacceptable
vhigh,med,2,more,medium,high,acceptable
vhigh,med,2,more,big,low,unacceptable
vhigh,med,2,more,big,medium,acceptable
vhigh,med,2,more,big,high,acceptable
vhigh,med,3,2,small,low,unacceptable
vhigh,med,3,2,small,medium,unacceptable
vhigh,med,3,2,small,high,unacceptable
vhigh,med,3,2,medium,low,unacceptable
vhigh,med,3,2,medium,medium,unacceptable
vhigh,med,3,2,medium,high,unacceptable
vhigh,med,3,2,big,low,unacceptable
vhigh,med,3,2,big,medium,unacceptable
vhigh,med,3,2,big,high,unacceptable
vhigh,med,3,4,small,low,unacceptable
vhigh,med,3,4,small,medium,unacceptable
vhigh,med,3,4,small,high,acceptable
vhigh,med,3,4,medium,low,unacceptable
vhigh,med,3,4,medium,medium,unacceptable
vhigh,med,3,4,medium,high,acceptable
vhigh,med,3,4,big,low,unacceptable
vhigh,med,3,4,big,medium,acceptable
vhigh,med,3,4,big,high,acceptable
vhigh,med,3,more,small,low,unacceptable
vhigh,med,3,more,small,medium,unacceptable
vhigh,med,3,more,small,high,acceptable
vhigh,med,3,more,medium,low,unacceptable
vhigh,med,3,more,medium,medium,acceptable
vhigh,med,3,more,medium,high,acceptable
vhigh,med,3,more,big,low,unacceptable
vhigh,med,3,more,big,medium,acceptable
vhigh,med,3,more,big,high,acceptable
vhigh,med,4,2,small,low,unacceptable
vhigh,med,4,2,small,medium,unacceptable
vhigh,med,4,2,small,high,unacceptable
vhigh,med,4,2,medium,low,unacceptable
vhigh,med,4,2,medium,medium,unacceptable
vhigh,med,4,2,medium,high,unacceptable
vhigh,med,4,2,big,low,unacceptable
vhigh,med,4,2,big,medium,unacceptable
vhigh,med,4,2,big,high,unacceptable
vhigh,med,4,4,small,low,unacceptable
vhigh,med,4,4,small,medium,unacceptable
vhigh,med,4,4,small,high,acceptable
vhigh,med,4,4,medium,low,unacceptable
vhigh,med,4,4,medium,medium,acceptable
vhigh,med,4,4,medium,high,acceptable
vhigh,med,4,4,big,low,unacceptable
vhigh,med,4,4,big,medium,acceptable
vhigh,med,4,4,big,high,acceptable
vhigh,med,4,more,small,low,unacceptable
vhigh,med,4,more,small,medium,unacceptable
vhigh,med,4,more,small,high,acceptable
vhigh,med,4,more,medium,low,unacceptable
vhigh,med,4,more,medium,medium,acceptable
vhigh,med,4,more,medium,high,acceptable
vhigh,med,4,more,big,low,unacceptable
vhigh,med,4,more,big,medium,acceptable
vhigh,med,4,more,big,high,acceptable
vhigh,med,5more,2,small,low,unacceptable
vhigh,med,5more,2,small,medium,unacceptable
vhigh,med,5more,2,small,high,unacceptable
vhigh,med,5more,2,medium,low,unacceptable
vhigh,med,5more,2,medium,medium,unacceptable
vhigh,med,5more,2,medium,high,unacceptable
vhigh,med,5more,2,big,low,unacceptable
vhigh,med,5more,2,big,medium,unacceptable
vhigh,med,5more,2,big,high,unacceptable
vhigh,med,5more,4,small,low,unacceptable
vhigh,med,5more,4,small,medium,unacceptable
vhigh,med,5more,4,small,high,acceptable
vhigh,med,5more,4,medium,low,unacceptable
vhigh,med,5more,4,medium,medium,acceptable
vhigh,med,5more,4,medium,high,acceptable
vhigh,med,5more,4,big,low,unacceptable
vhigh,med,5more,4,big,medium,acceptable
vhigh,med,5more,4,big,high,acceptable
vhigh,med,5more,more,small,low,unacceptable
vhigh,med,5more,more,small,medium,unacceptable
vhigh,med,5more,more,small,high,acceptable
vhigh,med,5more,more,medium,low,unacceptable
vhigh,med,5more,more,medium,medium,acceptable
vhigh,med,5more,more,medium,high,acceptable
vhigh,med,5more,more,big,low,unacceptable
vhigh,med,5more,more,big,medium,acceptable
vhigh,med,5more,more,big,high,acceptable
vhigh,low,2,2,small,low,unacceptable
vhigh,low,2,2,small,medium,unacceptable
vhigh,low,2,2,small,high,unacceptable
vhigh,low,2,2,medium,low,unacceptable
vhigh,low,2,2,medium,medium,unacceptable
vhigh,low,2,2,medium,high,unacceptable
vhigh,low,2,2,big,low,unacceptable
vhigh,low,2,2,big,medium,unacceptable
vhigh,low,2,2,big,high,unacceptable
vhigh,low,2,4,small,low,unacceptable
vhigh,low,2,4,small,medium,unacceptable
vhigh,low,2,4,small,high,acceptable
vhigh,low,2,4,medium,low,unacceptable
vhigh,low,2,4,medium,medium,unacceptable
vhigh,low,2,4,medium,high,acceptable
vhigh,low,2,4,big,low,unacceptable
vhigh,low,2,4,big,medium,acceptable
vhigh,low,2,4,big,high,acceptable
vhigh,low,2,more,small,low,unacceptable
vhigh,low,2,more,small,medium,unacceptable
vhigh,low,2,more,small,high,unacceptable
vhigh,low,2,more,medium,low,unacceptable
vhigh,low,2,more,medium,medium,unacceptable
vhigh,low,2,more,medium,high,acceptable
vhigh,low,2,more,big,low,unacceptable
vhigh,low,2,more,big,medium,acceptable
vhigh,low,2,more,big,high,acceptable
vhigh,low,3,2,small,low,unacceptable
vhigh,low,3,2,small,medium,unacceptable
vhigh,low,3,2,small,high,unacceptable
vhigh,low,3,2,medium,low,unacceptable
vhigh,low,3,2,medium,medium,unacceptable
vhigh,low,3,2,medium,high,unacceptable
vhigh,low,3,2,big,low,unacceptable
vhigh,low,3,2,big,medium,unacceptable
vhigh,low,3,2,big,high,unacceptable
vhigh,low,3,4,small,low,unacceptable
vhigh,low,3,4,small,medium,unacceptable
vhigh,low,3,4,small,high,acceptable
vhigh,low,3,4,medium,low,unacceptable
vhigh,low,3,4,medium,medium,unacceptable
vhigh,low,3,4,medium,high,acceptable
vhigh,low,3,4,big,low,unacceptable
vhigh,low,3,4,big,medium,acceptable
vhigh,low,3,4,big,high,acceptable
vhigh,low,3,more,small,low,unacceptable
vhigh,low,3,more,small,medium,unacceptable
vhigh,low,3,more,small,high,acceptable
vhigh,low,3,more,medium,low,unacceptable
vhigh,low,3,more,medium,medium,acceptable
vhigh,low,3,more,medium,high,acceptable
vhigh,low,3,more,big,low,unacceptable
vhigh,low,3,more,big,medium,acceptable
vhigh,low,3,more,big,high,acceptable
vhigh,low,4,2,small,low,unacceptable
vhigh,low,4,2,small,medium,unacceptable
vhigh,low,4,2,small,high,unacceptable
vhigh,low,4,2,medium,low,unacceptable
vhigh,low,4,2,medium,medium,unacceptable
vhigh,low,4,2,medium,high,unacceptable
vhigh,low,4,2,big,low,unacceptable
vhigh,low,4,2,big,medium,unacceptable
vhigh,low,4,2,big,high,unacceptable
vhigh,low,4,4,small,low,unacceptable
vhigh,low,4,4,small,medium,unacceptable
vhigh,low,4,4,small,high,acceptable
vhigh,low,4,4,medium,low,unacceptable
vhigh,low,4,4,medium,medium,acceptable
vhigh,low,4,4,medium,high,acceptable
vhigh,low,4,4,big,low,unacceptable
vhigh,low,4,4,big,medium,acceptable
vhigh,low,4,4,big,high,acceptable
vhigh,low,4,more,small,low,unacceptable
vhigh,low,4,more,small,medium,unacceptable
vhigh,low,4,more,small,high,acceptable
vhigh,low,4,more,medium,low,unacceptable
vhigh,low,4,more,medium,medium,acceptable
vhigh,low,4,more,medium,high,acceptable
vhigh,low,4,more,big,low,unacceptable
vhigh,low,4,more,big,medium,acceptable
vhigh,low,4,more,big,high,acceptable
vhigh,low,5more,2,small,low,unacceptable
vhigh,low,5more,2,small,medium,unacceptable
vhigh,low,5more,2,small,high,unacceptable
vhigh,low,5more,2,medium,low,unacceptable
vhigh,low,5more,2,medium,medium,unacceptable
vhigh,low,5more,2,medium,high,unacceptable
vhigh,low,5more,2,big,low,unacceptable
vhigh,low,5more,2,big,medium,unacceptable
vhigh,low,5more,2,big,high,unacceptable
vhigh,low,5more,4,small,low,unacceptable
vhigh,low,5more,4,small,medium,unacceptable
vhigh,low,5more,4,small,high,acceptable
vhigh,low,5more,4,medium,low,unacceptable
vhigh,low,5more,4,medium,medium,acceptable
vhigh,low,5more,4,medium,high,acceptable
vhigh,low,5more,4,big,low,unacceptable
vhigh,low,5more,4,big,medium,acceptable
vhigh,low,5more,4,big,high,acceptable
vhigh,low,5more,more,small,low,unacceptable
vhigh,low,5more,more,small,medium,unacceptable
vhigh,low,5more,more,small,high,acceptable
vhigh,low,5more,more,medium,low,unacceptable
vhigh,low,5more,more,medium,medium,acceptable
vhigh,low,5more,more,medium,high,acceptable
vhigh,low,5more,more,big,low,unacceptable
vhigh,low,5more,more,big,medium,acceptable
vhigh,low,5more,more,big,high,acceptable
high,vhigh,2,2,small,low,unacceptable
high,vhigh,2,2,small,medium,unacceptable
high,vhigh,2,2,small,high,unacceptable
high,vhigh,2,2,medium,low,unacceptable
high,vhigh,2,2,medium,medium,unacceptable
high,vhigh,2,2,medium,high,unacceptable
high,vhigh,2,2,big,low,unacceptable
high,vhigh,2,2,big,medium,unacceptable
high,vhigh,2,2,big,high,unacceptable
high,vhigh,2,4,small,low,unacceptable
high,vhigh,2,4,small,medium,unacceptable
high,vhigh,2,4,small,high,unacceptable
high,vhigh,2,4,medium,low,unacceptable
high,vhigh,2,4,medium,medium,unacceptable
high,vhigh,2,4,medium,high,unacceptable
high,vhigh,2,4,big,low,unacceptable
high,vhigh,2,4,big,medium,unacceptable
high,vhigh,2,4,big,high,unacceptable
high,vhigh,2,more,small,low,unacceptable
high,vhigh,2,more,small,medium,unacceptable
high,vhigh,2,more,small,high,unacceptable
high,vhigh,2,more,medium,low,unacceptable
high,vhigh,2,more,medium,medium,unacceptable
high,vhigh,2,more,medium,high,unacceptable
high,vhigh,2,more,big,low,unacceptable
high,vhigh,2,more,big,medium,unacceptable
high,vhigh,2,more,big,high,unacceptable
high,vhigh,3,2,small,low,unacceptable
high,vhigh,3,2,small,medium,unacceptable
high,vhigh,3,2,small,high,unacceptable
high,vhigh,3,2,medium,low,unacceptable
high,vhigh,3,2,medium,medium,unacceptable
high,vhigh,3,2,medium,high,unacceptable
high,vhigh,3,2,big,low,unacceptable
high,vhigh,3,2,big,medium,unacceptable
high,vhigh,3,2,big,high,unacceptable
high,vhigh,3,4,small,low,unacceptable
high,vhigh,3,4,small,medium,unacceptable
high,vhigh,3,4,small,high,unacceptable
high,vhigh,3,4,medium,low,unacceptable
high,vhigh,3,4,medium,medium,unacceptable
high,vhigh,3,4,medium,high,unacceptable
high,vhigh,3,4,big,low,unacceptable
high,vhigh,3,4,big,medium,unacceptable
high,vhigh,3,4,big,high,unacceptable
high,vhigh,3,more,small,low,unacceptable
high,vhigh,3,more,small,medium,unacceptable
high,vhigh,3,more,small,high,unacceptable
high,vhigh,3,more,medium,low,unacceptable
high,vhigh,3,more,medium,medium,unacceptable
high,vhigh,3,more,medium,high,unacceptable
high,vhigh,3,more,big,low,unacceptable
high,vhigh,3,more,big,medium,unacceptable
high,vhigh,3,more,big,high,unacceptable
high,vhigh,4,2,small,low,unacceptable
high,vhigh,4,2,small,medium,unacceptable
high,vhigh,4,2,small,high,unacceptable
high,vhigh,4,2,medium,low,unacceptable
high,vhigh,4,2,medium,medium,unacceptable
high,vhigh,4,2,medium,high,unacceptable
high,vhigh,4,2,big,low,unacceptable
high,vhigh,4,2,big,medium,unacceptable
high,vhigh,4,2,big,high,unacceptable
high,vhigh,4,4,small,low,unacceptable
high,vhigh,4,4,small,medium,unacceptable
high,vhigh,4,4,small,high,unacceptable
high,vhigh,4,4,medium,low,unacceptable
high,vhigh,4,4,medium,medium,unacceptable
high,vhigh,4,4,medium,high,unacceptable
high,vhigh,4,4,big,low,unacceptable
high,vhigh,4,4,big,medium,unacceptable
high,vhigh,4,4,big,high,unacceptable
high,vhigh,4,more,small,low,unacceptable
high,vhigh,4,more,small,medium,unacceptable
high,vhigh,4,more,small,high,unacceptable
high,vhigh,4,more,medium,low,unacceptable
high,vhigh,4,more,medium,medium,unacceptable
high,vhigh,4,more,medium,high,unacceptable
high,vhigh,4,more,big,low,unacceptable
high,vhigh,4,more,big,medium,unacceptable
high,vhigh,4,more,big,high,unacceptable
high,vhigh,5more,2,small,low,unacceptable
high,vhigh,5more,2,small,medium,unacceptable
high,vhigh,5more,2,small,high,unacceptable
high,vhigh,5more,2,medium,low,unacceptable
high,vhigh,5more,2,medium,medium,unacceptable
high,vhigh,5more,2,medium,high,unacceptable
high,vhigh,5more,2,big,low,unacceptable
high,vhigh,5more,2,big,medium,unacceptable
high,vhigh,5more,2,big,high,unacceptable
high,vhigh,5more,4,small,low,unacceptable
high,vhigh,5more,4,small,medium,unacceptable
high,vhigh,5more,4,small,high,unacceptable
high,vhigh,5more,4,medium,low,unacceptable
high,vhigh,5more,4,medium,medium,unacceptable
high,vhigh,5more,4,medium,high,unacceptable
high,vhigh,5more,4,big,low,unacceptable
high,vhigh,5more,4,big,medium,unacceptable
high,vhigh,5more,4,big,high,unacceptable
high,vhigh,5more,more,small,low,unacceptable
high,vhigh,5more,more,small,medium,unacceptable
high,vhigh,5more,more,small,high,unacceptable
high,vhigh,5more,more,medium,low,unacceptable
high,vhigh,5more,more,medium,medium,unacceptable
high,vhigh,5more,more,medium,high,unacceptable
high,vhigh,5more,more,big,low,unacceptable
high,vhigh,5more,more,big,medium,unacceptable
high,vhigh,5more,more,big,high,unacceptable
high,high,2,2,small,low,unacceptable
high,high,2,2,small,medium,unacceptable
high,high,2,2,small,high,unacceptable
high,high,2,2,medium,low,unacceptable
high,high,2,2,medium,medium,unacceptable
high,high,2,2,medium,high,unacceptable
high,high,2,2,big,low,unacceptable
high,high,2,2,big,medium,unacceptable
high,high,2,2,big,high,unacceptable
high,high,2,4,small,low,unacceptable
high,high,2,4,small,medium,unacceptable
high,high,2,4,small,high,acceptable
high,high,2,4,medium,low,unacceptable
high,high,2,4,medium,medium,unacceptable
high,high,2,4,medium,high,acceptable
high,high,2,4,big,low,unacceptable
high,high,2,4,big,medium,acceptable
high,high,2,4,big,high,acceptable
high,high,2,more,small,low,unacceptable
high,high,2,more,small,medium,unacceptable
high,high,2,more,small,high,unacceptable
high,high,2,more,medium,low,unacceptable
high,high,2,more,medium,medium,unacceptable
high,high,2,more,medium,high,acceptable
high,high,2,more,big,low,unacceptable
high,high,2,more,big,medium,acceptable
high,high,2,more,big,high,acceptable
high,high,3,2,small,low,unacceptable
high,high,3,2,small,medium,unacceptable
high,high,3,2,small,high,unacceptable
high,high,3,2,medium,low,unacceptable
high,high,3,2,medium,medium,unacceptable
high,high,3,2,medium,high,unacceptable
high,high,3,2,big,low,unacceptable
high,high,3,2,big,medium,unacceptable
high,high,3,2,big,high,unacceptable
high,high,3,4,small,low,unacceptable
high,high,3,4,small,medium,unacceptable
high,high,3,4,small,high,acceptable
high,high,3,4,medium,low,unacceptable
high,high,3,4,medium,medium,unacceptable
high,high,3,4,medium,high,acceptable
high,high,3,4,big,low,unacceptable
high,high,3,4,big,medium,acceptable
high,high,3,4,big,high,acceptable
high,high,3,more,small,low,unacceptable
high,high,3,more,small,medium,unacceptable
high,high,3,more,small,high,acceptable
high,high,3,more,medium,low,unacceptable
high,high,3,more,medium,medium,acceptable
high,high,3,more,medium,high,acceptable
high,high,3,more,big,low,unacceptable
high,high,3,more,big,medium,acceptable
high,high,3,more,big,high,acceptable
high,high,4,2,small,low,unacceptable
high,high,4,2,small,medium,unacceptable
high,high,4,2,small,high,unacceptable
high,high,4,2,medium,low,unacceptable
high,high,4,2,medium,medium,unacceptable
high,high,4,2,medium,high,unacceptable
high,high,4,2,big,low,unacceptable
high,high,4,2,big,medium,unacceptable
high,high,4,2,big,high,unacceptable
high,high,4,4,small,low,unacceptable
high,high,4,4,small,medium,unacceptable
high,high,4,4,small,high,acceptable
high,high,4,4,medium,low,unacceptable
high,high,4,4,medium,medium,acceptable
high,high,4,4,medium,high,acceptable
high,high,4,4,big,low,unacceptable
high,high,4,4,big,medium,acceptable
high,high,4,4,big,high,acceptable
high,high,4,more,small,low,unacceptable
high,high,4,more,small,medium,unacceptable
high,high,4,more,small,high,acceptable
high,high,4,more,medium,low,unacceptable
high,high,4,more,medium,medium,acceptable
high,high,4,more,medium,high,acceptable
high,high,4,more,big,low,unacceptable
high,high,4,more,big,medium,acceptable
high,high,4,more,big,high,acceptable
high,high,5more,2,small,low,unacceptable
high,high,5more,2,small,medium,unacceptable
high,high,5more,2,small,high,unacceptable
high,high,5more,2,medium,low,unacceptable
high,high,5more,2,medium,medium,unacceptable
high,high,5more,2,medium,high,unacceptable
high,high,5more,2,big,low,unacceptable
high,high,5more,2,big,medium,unacceptable
high,high,5more,2,big,high,unacceptable
high,high,5more,4,small,low,unacceptable
high,high,5more,4,small,medium,unacceptable
high,high,5more,4,small,high,acceptable
high,high,5more,4,medium,low,unacceptable
high,high,5more,4,medium,medium,acceptable
high,high,5more,4,medium,high,acceptable
high,high,5more,4,big,low,unacceptable
